index,date_,color,description,hold_type,wall_type,style,grade,setter,set_year,location,location_type
100001,2016-06-13,pink,Pink crimps,crimp,overhang,natural,V6-V7,Enrico,,Mesa Rim Mira Mesa,indoor
100002,2016-06-19,purple,"Purple crimps, easy",crimp,face,natural,V6-V7,Casey,,Mesa Rim Mission Valley,indoor
100003,2016-07-08,white,"White sloper, easy transition out of sloper",sloper,face,natural,V6-V7,Casey,,Mesa Rim Mission Valley,indoor
100004,2016-07-11,pink,"Pink corner, hard first move, easy rest of it",crimp,corner,natural,V6-V7,Enrico,,Mesa Rim Mission Valley,indoor
100005,2016-07-24,yellow,Yellow Mushrooms,jug,cave,natural,V6-V7,Enrico,,Mesa Rim Mission Valley,indoor
100006,2016-08-06,black,"Black mantle, one-move wonder",jug,face,mantle,V6-V7,Enrico,,Mesa Rim Mission Valley,indoor
100007,2016-08-14,green,"Green, easy start, hard finish","crimp, pinch",face,natural,V6-V7,Leo,,Mesa Rim Mission Valley,indoor
100008,2016-08-20,yellow,"Yellow crimps, dyno finish",crimp,face,natural,V6-V7,Enrico,,Mesa Rim Mission Valley,indoor
100009,2016-08-21,brown,"Brown crimps, sloper finish","crimp, sloper",face,natural,V6-V7,Chris,,Mesa Rim Mission Valley,indoor
100010,2016-08-22,green,"Green pinches, then slopers","pinch, sloper",face,natural,V6-V7,Chris,,Mesa Rim Mission Valley,indoor
100011,2016-08-28,yellow,Yellow zigzag crossover,crimp,face,natural,V6-V7,Chris,,Mesa Rim Mission Valley,indoor
100012,2016-09-04,green,"Green, upside-down",jug,overhang,comp,V6-V7,Leo,,Mesa Rim Mission Valley,indoor
100013,2016-09-15,pink,"Pink, natural",crimp,face,natural,V6-V7,Casey,,Mesa Rim Mission Valley,indoor
100014,2016-09-24,yellow,"Yellow, sloper then crimps","crimp, pinch, sloper",face,natural,V6-V7,Enrico,,Mesa Rim Mission Valley,indoor
100015,2016-09-24,black,"Black, Jug followed by crimps","crimp, jug",face,natural,V6-V7,Chris,,Mesa Rim Mission Valley,indoor
100016,2016-09-26,blue,Blue heel-hook start,crimp,overhang,natural,V6-V7,Curtis,,Mesa Rim Mission Valley,indoor
100017,2016-10-17,green,Green slopers,sloper,face,natural,V6-V7,Chris,,Mesa Rim Mira Mesa,indoor
100018,2016-10-30,black,Black Sloper Crimps,crimp,slab,natural,V7-V8,Chris,,Mesa Rim Mission Valley,indoor
100019,2016-11-08,white,"White holds, pentagon start",crimp,face,natural,V6-V7,Casey,,Mesa Rim Mira Mesa,indoor
100020,2016-11-11,blue,Blue roof then balance.,crimp,overhang,natural,V6,,,Mission Cliffs,indoor
100021,2016-11-14,pink,Pink pinches,pinch,face,natural,V5,Leo,,Mesa Rim Mission Valley,indoor
100022,2016-11-29,green,Green crimps deadpoint finish,crimp,overhang,natural,V6-V7,Aron,,Mesa Rim Mission Valley,indoor
