index_,date_,location_type,grade,display_grade,location,color,description,wall_type,hold_type,style,setter
100001,2016-06-13,indoor,6,V6-V7,Mesa Rim Mira Mesa,pink,Pink crimps,overhang,crimp,natural,Enrico
100002,2016-06-19,indoor,6,V6-V7,Mesa Rim Mission Valley,purple,"Purple crimps, easy",face,crimp,natural,Casey
100003,2016-07-08,indoor,6,V6-V7,Mesa Rim Mission Valley,white,"White sloper, easy transition out of sloper",face,sloper,natural,Casey
100004,2016-07-11,indoor,6,V6-V7,Mesa Rim Mission Valley,pink,"Pink corner, hard first move, easy rest of it",corner,crimp,natural,Enrico
100005,2016-07-24,indoor,6,V6-V7,Mesa Rim Mission Valley,yellow,Yellow Mushrooms,cave,jug,natural,Enrico
100006,2016-08-06,indoor,6,V6-V7,Mesa Rim Mission Valley,black,"Black mantle, one-move wonder",face,jug,mantle,Enrico
100007,2016-08-14,indoor,6,V6-V7,Mesa Rim Mission Valley,green,"Green, easy start, hard finish",face,"crimp, pinch",natural,Leo
100008,2016-08-20,indoor,6,V6-V7,Mesa Rim Mission Valley,yellow,"Yellow crimps, dyno finish",face,crimp,natural,Enrico
100009,2016-08-21,indoor,6,V6-V7,Mesa Rim Mission Valley,brown,"Brown crimps, sloper finish",face,"crimp, sloper",natural,Chris
100010,2016-08-22,indoor,6,V6-V7,Mesa Rim Mission Valley,green,"Green pinches, then slopers",face,"pinch, sloper",natural,Chris
100011,2016-08-28,indoor,6,V6-V7,Mesa Rim Mission Valley,yellow,Yellow zigzag crossover,face,crimp,natural,Chris
100012,2016-09-04,indoor,6,V6-V7,Mesa Rim Mission Valley,green,"Green, upside-down",overhang,jug,comp,Leo
100013,2016-09-15,indoor,6,V6-V7,Mesa Rim Mission Valley,pink,"Pink, natural",face,crimp,natural,Casey
100014,2016-09-24,indoor,6,V6-V7,Mesa Rim Mission Valley,yellow,"Yellow, sloper then crimps",face,"crimp, pinch, sloper",natural,Enrico
100015,2016-09-24,indoor,6,V6-V7,Mesa Rim Mission Valley,black,"Black, Jug followed by crimps",face,"crimp, jug",natural,Chris
100016,2016-09-26,indoor,6,V6-V7,Mesa Rim Mission Valley,blue,Blue heel-hook start,overhang,crimp,natural,Curtis
100017,2016-10-17,indoor,6,V6-V7,Mesa Rim Mira Mesa,green,Green slopers,face,sloper,natural,Chris
100018,2016-10-30,indoor,7,V7-V8,Mesa Rim Mission Valley,black,Black Sloper Crimps,slab,crimp,natural,Chris
100019,2016-11-08,indoor,6,V6-V7,Mesa Rim Mira Mesa,white,"White holds, pentagon start",face,crimp,natural,Casey
100020,2016-11-11,indoor,6,V6,Mission Cliffs,blue,Blue roof then balance.,overhang,crimp,natural,
100021,2016-11-14,indoor,5,V5,Mesa Rim Mission Valley,pink,Pink pinches,face,pinch,natural,Leo
100022,2016-11-29,indoor,6,V6-V7,Mesa Rim Mission Valley,green,Green crimps deadpoint finish,overhang,crimp,natural,Aron
100023,2016-12-02,indoor,6,V6-V7,Mesa Rim Mission Valley,brown,"Brown sit start, sloper finish, natural",face,sloper,natural,Nick
100024,2016-12-05,indoor,7,V7-V8,Mesa Rim Mira Mesa,pink,"Pink crimps, traverse deadpoint traverse dyno",face,"crimp, pinch",natural,Casey
100025,2016-12-22,indoor,6,V6,Dogpatch,yellow,"Yellow Flakes, two traverses",face,crimp,natural,Ben Polanco
100026,2017-01-18,indoor,6,V6,Dogpatch,purple,"Purple Sloper Dyno Start, Mantel finish",variable,"jug, sloper",dyno,Radu Popescu
100027,2017-01-26,indoor,6,V6,Dogpatch,pink,"Pink corner back wall, swinging move",face,sloper,natural,
100028,2017-01-30,indoor,6,V6,Dogpatch,orange,Orange overhanging,overhang,pinch,natural,Sean Nanos
100029,2017-01-30,indoor,6,V6,Dogpatch,blue,"Blue crimps overhanging, toehook roof",overhang,crimp,natural,
100030,2017-02-01,indoor,6,V6,Dogpatch,pink,Pink piano move,variable,sloper,natural,Ben-BD
100031,2017-02-03,indoor,5,V5,Dogpatch,orange,"Orange crimps, balancey traverse left",face,crimp,natural,Sean Nanos
100032,2017-02-04,indoor,6,V6,Dogpatch,blue,"Blue juggy roof, followed by crimps, first flash",overhang,jug,natural,Hiro
100033,2017-02-05,indoor,6,V6,Dogpatch,yellow,Yellow Slab,slab,crimp,natural,Ben-BD
100034,2017-02-08,indoor,7,V7,Dogpatch,red,"Red throw up to sidepull, then gaston to right",slab,crimp,natural,Sean Nanos
100035,2017-02-09,indoor,6,V6,Dogpatch,red,"Red high right foot, sidepull top.",face,crimp,natural,Radu Popescu
100036,2017-02-10,indoor,5,V5,Dogpatch,green,Green slab traverse on crimps,slab,crimp,natural,Radu Popescu
100037,2017-02-13,indoor,6,V6,Dogpatch,blue,Blue crimps on slab,slab,crimp,natural,Jonathan Wright
100038,2017-02-14,indoor,6,V6,Dogpatch,blue,"Blue high undercling start, slab finish",slab,crimp,natural,Ben-BD
100039,2017-02-15,indoor,6,V6,Dogpatch,blue,Blue dyno comp problem,overhang,jug,comp,Radu Popescu
100040,2017-02-15,indoor,6,V6,Dogpatch,blue,Blue dyno comp problem,overhang,jug,mantle,Radu Popescu
100041,2017-02-18,indoor,6,V6,Dogpatch,yellow,Yellow Crimp Double Traverse,face,crimp,natural,Zak Grinstead
100042,2017-02-18,indoor,6,V6,Dogpatch,pink,Pink Sloper Dyno,face,sloper,dyno,Jonathan Wright
100043,2017-02-19,indoor,6,V6,Dogpatch,blue,"Blue Dropknee Start, Slab finish on slopers",slab,sloper,natural,Hiro
100044,2017-02-20,indoor,6,V6,Dogpatch,black,Black Sloper Dynos,face,sloper,dyno,Jonathan Wright
100045,2017-02-20,indoor,6,V6,Dogpatch,blue,Blue Traverse Wall,face,crimp,mantle,Hiro
100046,2017-02-20,indoor,6,V6,Dogpatch,orange,"Orange Arete, Undercling start",arete,crimp,natural,Colin Baxter Green
100047,2017-02-21,indoor,7,V7,Dogpatch,orange,Orange overhanging crimps on volumes,overhang,crimp,natural,Morgan McGehee
100048,2017-02-26,indoor,6,V6,Ironworks,green,"Green slopers, finish on arete",arete,sloper,natural,
100049,2017-02-26,indoor,7,V7,Ironworks,white,"White crimps, traverse finish",face,crimp,natural,
100050,2017-02-27,indoor,7,V7,Dogpatch,green,"Green Comp Problem dyno start, balancey finish",face,crimp,comp,Radu Popescu
100051,2017-02-28,indoor,6,V6,Dogpatch,yellow,Yellow rose move,cave,crimp,natural,Jeremy Ho
100052,2017-02-28,indoor,7,V7,Dogpatch,white,White Mirror Ape Traverse,overhang,"crimp, sloper",dyno,Led Zep
100053,2017-03-02,indoor,7,V7,Dogpatch,black,Black Crimps Reachy Moves,overhang,crimp,natural,Sean Nanos
100054,2017-03-07,indoor,6,V6,Dogpatch,blue,Blue hanging traverse start,overhang,crimp,natural,Morgan McGehee
100055,2017-03-07,indoor,6,V6,Dogpatch,green,Green crimps,face,crimp,natural,Hiro
100056,2017-03-07,indoor,6,V6,Dogpatch,pink,Pink cave traverse,cave,jug,natural,Ben Polanco
100057,2017-03-07,indoor,6,V6,Dogpatch,blue,"Blue Crimps, shitty finish",face,crimp,natural,LM
100058,2017-03-07,indoor,6,V6,Dogpatch,red,"Red crimps, can toehook crimp start hold",face,crimp,natural,Ben-BD
100059,2017-03-10,indoor,6,V6,Dogpatch,blue,"Blue undercling volume start, crimpy finish",face,crimp,natural,SFG
100060,2017-03-10,indoor,6,V6,Dogpatch,yellow,"Yellow straight dyno, then sideways dyno",cave,jug,dyno,Hiro
100061,2017-03-10,indoor,6,V6,Dogpatch,green,"Green crimps, second flash",face,crimp,natural,Buck Yedor
100062,2017-03-13,indoor,6,V6,Dogpatch,white,"White arete, slab finish",arete,crimp,natural,Zak Grinstead
100063,2017-03-14,indoor,7,V7,Dogpatch,pink,Pink jugs similar to outdoor climbing,face,sloper,natural,Hiro
100064,2017-03-15,indoor,6,V6,Dogpatch,blue,"Blue Arete Comp Problem, Cave Start, Roof Finish",cave,"crimp, sloper",comp,Radu Popescu
100065,2017-03-15,indoor,6,V6,Dogpatch,purple,"Purple Sloper Mantle around Arete, Crimp finish",arete,sloper,natural,LM
100066,2017-03-15,indoor,7,V7,Dogpatch,yellow,"Yellow traverse to a sideways dyno, short arete onto a sloper, finish out right on crimps",arete,sloper,natural,Ben-BD
